candidate_count,case_id,expected_domain,fusion_seconds,ground_truth_used_in_inference,mean_matched_boundary_f1_at_025,mean_matched_iou_at_025,object_category,object_iou,object_precision,object_recall,oversegmentation_ratio,part_f1_at_025,part_f1_at_050,part_precision_at_025,part_precision_at_050,part_recall_at_025,part_recall_at_050,predicted_part_count,semantic_part_recall_at_025,variant
7,can,container,0.031196099997032434,False,0.17683012786344782,0.41105909645557404,can,0.9790230746179203,0.9978238460657427,0.9811179098314501,0.6666666666666666,0.4,0.0,0.5,0.0,0.3333333333333333,0.0,4.0,0.0,A3_full_fusion
3,cup,container,0.03139710001414642,False,0.0,0.0,cup,0.6476434849289211,1.0,0.6476434849289211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A0_independent_max
3,cup,container,0.030948600033298135,False,0.0,0.0,cup,0.6476434849289211,1.0,0.6476434849289211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A1_cross_source_consensus
3,cup,container,0.050963599991519004,False,0.3816559253990004,0.353695809841156,cup,0.8835985060141752,0.9967818990113463,0.8861263493187047,0.6666666666666666,0.4,0.0,0.5,0.0,0.3333333333333333,0.0,2.0,0.0,A2_consensus_hierarchy
3,cup,container,0.05096119997324422,False,0.3816559253990004,0.353695809841156,cup,0.8835985060141752,0.9967818990113463,0.8861263493187047,0.6666666666666666,0.4,0.0,0.5,0.0,0.3333333333333333,0.0,2.0,0.0,A3_full_fusion
7,mug,container,0.014363100053742528,False,0.3862367614863438,0.3992439806461334,mug,0.8283010645583017,0.9964053021792856,0.8307836403371839,0.16666666666666666,0.2857142857142857,0.0,1.0,0.0,0.16666666666666666,0.0,1.0,0.16666666666666666,A0_independent_max
7,mug,container,0.014444600034039468,False,0.3862367614863438,0.3992439806461334,mug,0.8283010645583017,0.9964053021792856,0.8307836403371839,0.16666666666666666,0.2857142857142857,0.0,1.0,0.0,0.16666666666666666,0.0,1.0,0.16666666666666666,A1_cross_source_consensus
7,mug,container,0.021575699967797846,False,0.6069166514331222,0.537416954835256,mug,0.8283010645583017,0.9964053021792856,0.8307836403371839,0.6666666666666666,0.6,0.4,0.75,0.5,0.5,0.3333333333333333,4.0,0.5,A2_consensus_hierarchy
7,mug,container,0.023299299995414913,False,0.6996483589310983,0.5885650416215261,mug,0.8283010645583017,0.9964053021792856,0.8307836403371839,0.6666666666666666,0.6,0.4,0.75,0.5,0.5,0.3333333333333333,4.0,0.5,A3_full_fusion
7,glass_drink_container,container,0.0261857999721542,False,0.3863973374633407,0.3879936933517456,glass_(drink_container),0.9388118371282356,0.9998420221169037,0.9389511163860248,0.2,0.33333333333333337,0.0,1.0,0.0,0.2,0.0,1.0,0.0,A0_independent_max
7,glass_drink_container,container,0.026448499993421137,False,0.3863973374633407,0.3879936933517456,glass_(drink_container),0.9388118371282356,0.9998420221169037,0.9389511163860248,0.2,0.33333333333333337,0.0,1.0,0.0,0.2,0.0,1.0,0.0,A1_cross_source_consensus
7,glass_drink_container,container,0.03390370000852272,False,0.3356843116449004,0.4060639888048172,glass_(drink_container),0.9438421110661913,0.9904736192533169,0.9524886877828054,1.0,0.4000000000000001,0.0,0.4,0.0,0.4,0.0,5.0,0.2,A2_consensus_hierarchy
7,glass_drink_container,container,0.034501500020269305,False,0.6019751812045877,0.6089329123497009,glass_(drink_container),0.9438421110661913,0.9904736192533169,0.9524886877828054,1.2,0.5454545454545454,0.3636363636363636,0.5,0.3333333333333333,0.6,0.4,6.0,0.2,A3_full_fusion
4,bowl,container,0.013711999985389411,False,0.41323231042353537,0.3659002482891083,bowl,0.4867983009987372,0.5429925091235034,0.8246791131855309,0.2,0.33333333333333337,0.0,1.0,0.0,0.2,0.0,1.0,0.2,A0_independent_max
